unit,unit_shorthand,unit_full_title,origin,cost,search_name
ja_ridalsa-6,Ja Ridalsa 6★,Mysterious Virtuoso Ja Ridalsa,Paranoia Art,48,Ja Ridalsa 6
nasu_no_yoichi-4,Nasu no Yoichi 4★,Nasu no Yoichi,Zero-One Game,48,Nasu no Yoichi 4
nasu_no_yoichi-5,Nasu no Yoichi 5★,"Eagle-Eyed Aim, Nasu no Yoichi",Zero-One Game,48,Nasu no Yoichi 5
nasu_no_yoichi-6,Nasu no Yoichi 6★,Loyal Arrow Soul Nasu no Yoichi,Zero-One Game,48,Nasu no Yoichi 6
ranmaru_mori-4,Ranmaru Mori 4★,Ranmaru Mori,The Lord's Right-Hand Man,48,Ranmaru Mori 4
ranmaru_mori-5,Ranmaru Mori 5★,"Ranmaru Mori, the Budding Heart",The Lord's Right-Hand Man,48,Ranmaru Mori 5
ranmaru_mori-6,Ranmaru Mori 6★,Evil Awakening Ranmaru Mori,The Lord's Right-Hand Man,48,Ranmaru Mori 6
leedsichthys-4,Leedsichthys 4★,Leedsichthys,Glutton for Punishment,48,Leedsichthys 4
leedsichthys-5,Leedsichthys 5★,Ancient Glutton Leedsichthys,Glutton for Punishment,48,Leedsichthys 5
leedsichthys-6,Leedsichthys 6★,Destructive Hunger Leedsichthys,Glutton for Punishment,48,Leedsichthys 6
anastasia-4,Anastasia 4★,Anastasia,Hand Over that Glass Slipper!,48,Anastasia 4
anastasia-5,Anastasia 5★,Flurryfist Anastasia,Hand Over that Glass Slipper!,48,Anastasia 5
anastasia-6,Anastaisa 6★,凍界流創始の拳奥義 アナスタシア,Hand Over that Glass Slipper!,48,Anastaisa 6
anomalocaris-4,Anomalocaris 4★,Anomalocaris,Rise of the Extinct Predator,48,Anomalocaris 4
anomalocaris-5,Anomalocaris 5★,Ancient Fashionista Anomalocaris,Rise of the Extinct Predator,48,Anomalocaris 5
anomalocaris-6,Anomalocaris 6★,魁攻的尖鋭 アノマロカリス,Rise of the Extinct Predator,48,Anomalocaris 6
sugaru-4,Sugaru 4★,Tempest Dragon Sugaru,Bow to Your Superiors,48,Sugaru 4
sugaru-5,Sugaru 5★,Spinner of Vortexes Sugaru,Bow to Your Superiors,48,Sugaru 5
sugaru-6,Sugaru 6★,嵐越の暴老龍 スガル,Bow to Your Superiors,48,Sugaru 6
tesla-4,Tesla 4★,Tesla,Challenge Tower,48,Tesla 4
tesla-5,Tesla 5★,Engineer Extraordinaire Tesla,Challenge Tower,48,Tesla 5
tesla-6,Tesla 6★,Soaring Electro-mage Tesla,Challenge Tower,48,Tesla 6
charlie-4,Charlie 4★,Charlie,Challenge Tower,48,Charlie 4
charlie-5,Charlie 5★,Flighty Inventor Charlie,Challenge Tower,48,Charlie 5
charlie-6,Charlie 6★,Emerging Dreamer Scholar Charlie,Challenge Tower,48,Charlie 6
boyle-4,Boyle 4★,Boyle,Challenge Tower,48,Boyle 4
boyle-5,Boyle 5★,Bullet Hell Boyle,Challenge Tower,48,Boyle 5
boyle-6,Boyle 6★,Blazing Sharpshooter Boyle,Challenge Tower,48,Boyle 6
melissa-3,Melissa 3★,Lurker Melissa,Early Rank Quests,48,Melissa 3
melissa-4,Melissa 4★,Camouflaged Lurker Melissa 2.0,Early Rank Quests,48,Melissa 4
melissa-5,Melissa 5★,Covert Ops Melissa 2.0,Early Rank Quests,48,Melissa 5
melissa-6,Melissa 6★,Clandenstine Melissa,Early Rank Quests,48,Melissa 6
happy-3,Happy 3★,Happy 100,Early Rank Quests,48,Happy 3
happy-4,Happy 4★,Happy 101,Early Rank Quests,48,Happy 4
happy-5,Happy 5★,Happy 102,Early Rank Quests,48,Happy 5
happy-6,Happy 6★,Cybernetic Fortune Happy,Early Rank Quests,48,Happy 6
morris-3,Morris 3★,Amped-Up Morris,Early Rank Quests,48,Morris 3
morris-4,Morris 4★,Disguised Amp G. Morris,Early Rank Quests,48,Morris 4
morris-5,Morris 5★,Invasive G. Morris,Early Rank Quests,48,Morris 5
morris-6,Morris 6★,Counterfeit Morris,Early Rank Quests,48,Morris 6
nimda-3,Nimda 3★,Self-Replicating Nimda,Early Rank Quests,48,Nimda 3
nimda-4,Nimda 4★,Breakneck Cloner Nimda E,Early Rank Quests,48,Nimda 4
nimda-5,Nimda 5★,Propagating Nimda E,Early Rank Quests,48,Nimda 5
nimda-6,Nimda 6★,Ring of Death Nimda,Early Rank Quests,48,Nimda 6
muse-5,Muse 5★,Muse,Beginner Missions,48,Muse 5
muse-6,Muse 6★,Music-loving Goddess Muse,Beginner Missions,48,Muse 6
suzaku-3,Suzaku 3★,Suzaku,Link Hatcher,48,Suzaku 3
suzaku-4,Suzaku 4★,Guardian Deity Suzaku,Link Hatcher,48,Suzaku 4
suzaku-5,Suzaku 5★,Crimson Watcher of South Suzaku,Link Hatcher,48,Suzaku 5
suzaku-6,Suzaku 6★,Red Guardian Suzaku,Link Hatcher,48,Suzaku 6
genbu-3,Genbu 3★,Genbu,Link Hatcher,48,Genbu 3
genbu-4,Genbu 4★,Guardian Deity Genbu,Link Hatcher,48,Genbu 4
genbu-5,Genbu 5★,Emerald Watcher of North Genbu,Link Hatcher,48,Genbu 5
genbu-6,Genbu 6★,Black Guardian Genbu,Link Hatcher,48,Genbu 6
seiryu-3,Seiryu 3★,Seiryu,Link Hatcher,48,Seiryu 3
seiryu-4,Seiryu 4★,Guardian Deity Seiryu,Link Hatcher,48,Seiryu 4
seiryu-5,Seiryu 5★,Azure Watcher of East Seiryu,Link Hatcher,48,Seiryu 5
seiryu-6,Seiryu 6★,Azure Guardian Seiryu,Link Hatcher,48,Seiryu 6
byakko-3,Byakko 3★,Byakko,Link Hatcher,48,Byakko 3
byakko-4,Byakko 4★,Guardian Deity Byakko,Link Hatcher,48,Byakko 4
byakko-5,Byakko 5★,Golden Watcher of West Byakko,Link Hatcher,48,Byakko 5
byakko-6,Byakko 6★,White Guardian Byakko,Link Hatcher,48,Byakko 6
farnese-5,Farnese 5★,Farnese,8 Million Downloads Login,48,Farnese 5
farnese-red,Farnese Rosso,Farnese Rosso,8 Million Downloads Login,48,Farnese Rosso
farnese-green,Farnese Verde,Farnese Verde,8 Million Downloads Login,48,Farnese Verde
farnese-blue,Farnese Azzurro,Farnese Azzurro,8 Million Downloads Login,48,Farnese Azzurro
farnese-yellow,Farnese Giallo,Farnese Giallo,8 Million Downloads Login,48,Farnese Giallo
xmas_date_corin,Christmas Date Corin,Decorated Glimmering Corin,Christmas 2017 Quests,48,Christmas Date Corin
xmas_date_beelzebub,Christmas Date Beelzebub,Beautiful Night Flower Beelzebub,Christmas 2017 Quests,48,Christmas Date Beelzebub
xmas_date_oz,Christmas Date Oz,Winter Sky Bloom Oz,Christmas 2017 Quests,48,Christmas Date Oz
xmas_date_yomi,Christmas Date Yomi,Yearning Demon God Yomi,Christmas 2017 Quests,48,Christmas Date Yomi
xmas_date_jeanne,Christmas Date Jeanne,Holy Night of Love Jeanne,Christmas 2017 Quests,48,Christmas Date Jeanne
xmas_date_wakahirume,Christmas Date Wakahirume,Young Snow of Love Wakahirume,Christmas 2017 Quests,48,Christmas Date Wakahirume
xmas_date_eris,Christmas Date Eris,Dangerous Bomb Girl Eris,Christmas 2017 Quests,48,Christmas Date Eris
xmas_date_kama,Christmas Date Kama,Deity of Love and Flowers Kama,Christmas 2017 Quests,48,Christmas Date Kama
mini_demia-5,Mini Demia 5★,Gift Box,Christmas 2017 Login,99,Mini Demia 5
mini_demia-6,Mini Demia 6★,Gift Box (Mini Demia),Christmas 2017 Login,48,Mini Demia 6
fude_zhengshen-5,Fude Zhengshen 5★,Fude Zhengshen,Special Link Hatcher,48,Fude Zhengshen 5
fude_zhengshen-6,Fude Zhengshen 6★,God of Virtue Fude Zhengshen,Special Link Hatcher,48,Fude Zhengshen 6
fude_zhengshen_2018-5,Fude Zhengshen 2018 5★,TUDI-180526 Fude Zhengshen,TW 2nd Anniversary,48,Fude Zhengshen 2018 5
fude_zhengshen_2018-6,Fude Zhengshen 2018 6★,Earth Guardian Fude Zhengshen,TW 2nd Anniversary,48,Fude Zhengshen 2018 6
shoggoth-5,Shoggoth 5★,Defiant Servant Shoggoth,Chaotic Fragment Exchange,48,Shoggoth 5
shoggoth-6,Shoggoth 6★,Malevolent Shapeshifter Shoggoth,Chaotic Fragment Exchange,48,Shoggoth 6
uleong_gagsi-5,Uleong Gagsi 5★,Uleong Gagsi,Special Link Hatcher,48,Uleong Gagsi 5
uleong_gagsi-6,Uleong Gagsi 6★,Heart-warming Cook Uleong Gagsi,Special Link Hatcher,48,Uleong Gagsi 6
cho_lon-5,Cho Lon 5★,Cho Lon,KR Beginner Missions,48,Cho Lon 5
cho_lon-6,Cho Lon 6★,Illuminated Path of Newbies,KR Beginner Missions,48,Cho Lon 6
liu_zhonglu-5,Liu Zhonglu 5★,Liu Zhonglu,Special Link Hatcher,48,Liu Zhonglu 5
liu_zhonglu-6,Liu Zhonglu 6★,Thousand-Mile Liu Zhonglu,Special Link Hatcher,48,Liu Zhonglu 6
rabbit_yukine_2017-5,Rabbit Yukine 2017 5★,Stardancer Rabbit Yukine,Hatsune Miku 2017 Login,48,Rabbit Yukine 2017 5
rabbit_yukine_2017-6,Rabbit Yukine 2017 6★,Starprancer Rabbit Yukine,Hatsune Miku 2017 Login,48,Rabbit Yukine 2017 6
apple_cat-5,Apple Cat 5★,Apple Cat,Battle Cats 2017 Missions,48,Apple Cat 5
apple_cat-6,Apple Cat 6★,The Face,Battle Cats 2017 Missions,48,Apple Cat 6
kyo_kusanagi_95-5,Kyo Kusanagi '95 5★,KOF '95 Kyo Kusanagi,King of Fighters Ticket Hatcher,48,Kyo Kusanagi '95 5
kyo_kusanagi_95-6,Kyo Kusanagi '95 6★,KOF '95 Old-School Kyo,King of Fighters Ticket Hatcher,48,Kyo Kusanagi '95 6
athena_asamiya-5,Athena Asamiya 5★,Athena Asamiya,King of Fighters Ticket Hatcher,48,Athena Asamiya 5
athena_asamiya-6,Athena Asamiya 6★,Psychic-Powered Idol Athena,King of Fighters Ticket Hatcher,48,Athena Asamiya 6
konosuba_chris-5,KonoSuba Chris 5★,クリス,KonoSuba 2018 Login,48,KonoSuba Chris 5
konosuba_chris-6,KonoSuba Chris 6★,剥奪される盗賊 クリス,KonoSuba 2018 Login,48,KonoSuba Chris 6
momotaro-4,Momotaro 4★,ももたろう,Battle Cats 2018 Login,48,Momotaro 4
momotaro-5,Momotaro 5★,ピーチスター,Battle Cats 2018 Login,48,Momotaro 5
momotaro-6,Momotaro 6★,爆走兄弟ピーチジャスティス,Battle Cats 2018 Login,48,Momotaro 6
snow_miku_2019-5,Snow Miku 2019 5★,Phantom Diva Snow Miku 2019,Hatsune Miku 2019 Login,48,Snow Miku 2019 5
snow_miku_2019-6,Snow Miku 2019 6★,Snowfall Diva Snow Miku 2019,Hatsune Miku 2019 Login,48,Snow Miku 2019 6
mana_takamiya-5,Mana Takamiya 5★,Mana Takamiya,Date A Live Login,48,Mana Takamiya 5
mana_takamiya-6,Mana Takamiya 6★,Adeptus 2 Mana Takamiya,Date A Live Login,48,Mana Takamiya 6
mana_takamiya-ua,Mana Takamiya UA,Mana Takamiya,Date A Live Login,48,Mana Takamiya UA
,,,,,
,,,,,
,,,,,
little_humpty,Little Humpty,Little Humpty,Various,99,Little Humpty
ancile,Ancile,Giant Army Shield Ancile,Ranking Point Exchange,58,Ancile
svalinn,Svalinn,Hot and Cold Shield Svalinn,Ranking Point Exchange,58,Svalinn
ochain,Ochain,Heavy Screaming Shield Ochain,Ranking Point Exchange,58,Ochain
pinaka,Pinaka,奮射する過滅弓 ピナカ,Ranking Point Exchange,58,Pinaka
failnaught,Failnaught,厳眼の老錬弓 フェイルノート,Ranking Point Exchange,58,Failnaught
ame_no_makako,Ame no Makako,紐矢編む慈弓 天之麻迦古弓,Ranking Point Exchange,58,Ame no Makako
balmung,Balmung,Leaping Dagger Balmung,Ranking Point Exchange,58,Balmung
laevateinn,Laevateinn,Demonic Seal Blade Laevateinn,Ranking Point Exchange,58,Laevateinn
excalibur,Excalibur,Chivalrous Kingsblade Excalibur,Ranking Point Exchange,58,Excalibur
red_liddell_note,Red Liddell Note,Red Liddell Note,Various,99,Red Liddell Note
red_liddell_paper,Red Liddell Paper,Red Liddell Paper,Various,99,Red Liddell Paper
red_liddell_piece,Red Liddell Piece,Red Liddell Piece,Various,99,Red Liddell Piece
green_liddell_note,Green Liddell Note,Green Liddell Note,Various,99,Green Liddell Note
green_liddell_paper,Green Liddell Paper,Green Liddell Paper,Various,99,Green Liddell Paper
green_liddell_piece,Green Liddell Piece,Green Liddell Piece,Various,99,Green Liddell Piece
blue_liddell_note,Blue Liddell Note,Blue Liddell Note,Various,99,Blue Liddell Note
blue_liddell_paper,Blue Liddell Paper,Blue Liddell Paper,Various,99,Blue Liddell Paper
blue_liddell_piece,Blue Liddell Piece,Blue Liddell Piece,Various,99,Blue Liddell Piece
yellow_liddell_note,Yellow Liddell Note,Yellow Liddell Note,Various,99,Yellow Liddell Note
yellow_liddell_paper,Yellow Liddell Paper,Yellow Liddell Paper,Various,99,Yellow Liddell Paper
yellow_liddell_piece,Yellow Liddell Piece,Yellow Liddell Piece,Various,99,Yellow Liddell Piece
azure_dragon_horn,Azure Dragon Horn,Azure Dragon Horn,Ocean of Dark Flames,99,Azure Dragon Horn
almagest-1,Almagest 1★,Unicellular Carneige Almagest,Final Protection Almagest,68,Almagest 1
awakening_charm,Awakening Charm,Awakening Charm,Missions,99,Awakening Charm
flaming_dodo,Flaming Dodo,Flaming Dodo,Color Materials Quest,99,Flaming Dodo
thousand_gales_griffon,Thousand Gales Griffon,Thousand Gales Griffon,Color Materials Quest,99,Thousand Gales Griffon
deep_sea_turtle,Deep Sea Turtle,Deep Sea Turtle,Color Materials Quest,99,Deep Sea Turtle
dynamo_dormouse,Dynamo Dormouse,Dynamo Dormouse,Color Materials Quest,99,Dynamo Dormouse
red_cheshire,Red Cheshire,Red Cheshire,Color Materials Quest,99,Red Cheshire
red_rabbit,Red Rabbit,Red Rabbit,Color Materials Quest,99,Red Rabbit
red_caterpillar,Red Caterpillar,Red Caterpillar,Color Materials Quest,99,Red Caterpillar
red_hatter,Red Hatter,Fire Mad Hatter,Color Materials Quest,99,Red Hatter
green_cheshire,Green Cheshire,Green Cheshire,Color Materials Quest,99,Green Cheshire
green_rabbit,Green Rabbit,Green Rabbit,Color Materials Quest,99,Green Rabbit
green_caterpillar,Green Caterpillar,Green Caterpillar,Color Materials Quest,99,Green Caterpillar
green_hatter,Green Hatter,Forest Mad Hatter,Color Materials Quest,99,Green Hatter
blue_cheshire,Blue Cheshire,Blue Cheshire,Color Materials Quest,99,Blue Cheshire
blue_rabbit,Blue Rabbit,Blue Rabbit,Color Materials Quest,99,Blue Rabbit
blue_caterpillar,Blue Caterpillar,Blue Caterpillar,Color Materials Quest,99,Blue Caterpillar
blue_hatter,Blue Hatter,Aqua Mad Hatter,Color Materials Quest,99,Blue Hatter
yellow_cheshire,Yellow Cheshire,Yellow Cheshire,Color Materials Quest,99,Yellow Cheshire
yellow_rabbit,Yellow Rabbit,Yellow Rabbit,Color Materials Quest,99,Yellow Rabbit
yellow_caterpillar,Yellow Caterpillar,Yellow Caterpillar,Color Materials Quest,99,Yellow Caterpillar
yellow_hatter,Yellow Hatter,Thunder Mad Hatter,Color Materials Quest,99,Yellow Hatter
hades,Hades,Lord of the Underworld Hades,Hades Invades!,58,Hades
gilles_de_rais,Gilles de Rais,Revived Graceful Gilles de Rais,Gilles de Rais Invades!,58,Gilles de Rais
cont_jeanne,Continuation Jeanne,Battlefield Gun Saint Jeanne,Jeanne Invades Again!,58,Continuation Jeanne
anubis,Anubis,Black Deity of Burial Anubis,Anubis Invades!,58,Anubis
cont_freyr,Continuation Freyr,厳庫の豊真皇神 フレイ,Freyr Invades Again!,58,Continuation Freyr
jerry-1,Jerry 1★,Jerry,Normal Quests,20,Jerry 1
promise_of_protection,Promise of Protection,Promise of Protection,A Hero's Value,99,Promise of Protection
dm_chang_e,Dark Moon Chang'e,Moonlight Castellan Chang'e,Dark Moon's Scar,58,Dark Moon Chang'e
jin_wu,Jin Wu,Luminous Shine Jin Wu,A Ray of Light,53,Jin Wu
moriarty_lantern,Moriarty's Black Lantern,Moriarty's Black Lantern,Moriarty Invades!,99,Moriarty's Black Lantern
black_rose,Black Rose,Passionate Romance Black Rose,The Wolf of the Stars,99,Black Rose
red_peony,Red Peony,Forever Love Red Peony,Taintless Love,99,Red Peony
ultrastellar_tablet,Tablets of Ultrastellar Stone,Tablets of Ultrastellar Stone,Calamity Omen,99,Tablets of Ultrastellar Stone
chaotic_sample,Chaotic Sample,Chaotic Sample,Chaotic Supremacy,99,Chaotic Sample
tome_of_calamity,Tome of Calamity,Tome of Calamity,Sprout of Scattered Literatures,99,Tome of Calamity
columbus_trunk,Columbus' Trusty Trunk,Columbus' Trusty Trunk,Leif Goes to ALIWOOD,99,Columbus' Trusty Trunk
bonanza_veil,Bonanza Veil,Bonanza Veil,Avaricia Tower F12,99,Bonanza Veil
rose_thruster,Rose Thruster,Rose Thruster,Elfram Tower F12,99,Rose Thruster
sophia_crown,Sophia Crown,Sophia Crown,Chandille Tower F12,99,Sophia Crown
elly_corsage,Elly's Corsage,Elly's Corsage,Lucial Tower F12,99,Elly's Corsage
yinglong,Yinglong,Yinglong,Four Perils Tower F3,99,Yinglong
zhulong,Zhulong,Zhulong,Four Perils Tower F6,99,Zhulong
jing_wei,Jing Wei,Jing Wei,Four Perils Tower F10,99,Jing Wei
infected_yama,Infected Yama,Abyssal Hell Yama,Infinite Hell Collapsing,53,Infected Yama
ig,Ig,Snakeskin Moonwhite Ig,Chaotic Fragment Exchange,48,Ig
ieyasu_will,Ieyasu's Will,Ieyasu's Will,Ieyasu Tokugawa Invades!,99,Ieyasu's Will
persephone_will,Persephone's Will,Persphone's Will,Persephone Invades!,99,Persephone's Will
mini_medjed,Mini Medjed,Mini Medjed,Medjed Invades!,99,Mini Medjed
sandalphon_beytzah,Sandalphon's Beytzah,Sandalphon's Bēytzāh,Sandalphon Invades!,99,Sandalphon's Beytzah
ose_justice,Ose's Justice,Ose's Justice,Time Travel in ALICE -The First-,99,Ose's Justice
forneus_arrogance,Forneus' Arrogance,Forneus' Arrogance,Time Travel in ALICE -The First-,99,Forneus' Arrogance
baphomet_pleasure,Baphomet's Pleasure,Baphomet's Pleasure,Time Travel in ALICE -The First-,99,Baphomet's Pleasure
nurupon_cube,Nurupon Cube,Nurupon Cube,Occupying Babylonia Tower,99,Nurupon Cube
undine,Undine,Undine,The Silky-Skinned Lady,99,Undine
cheecat,Supporter Cheecat,Supporter Cheecat,Overcome Your Limits!,99,Supporter Cheecat
circe,Circe,Scourge of Transfiguration-Circe,The Empress' Experiment,48,Circe
endor,Endor,Deathwhisperer-Endor,The Mage's True Will,38,Endor
shido,My Little Shido,My Little Shido,Date A Live Collab,99,My Little Shido
ornament,Ornament,Ornament,Christmas 2017 Quests,99,Ornament
blue_ice_crystal,Blue Ice Crystal,Blue Ice Crystal,White Whale Battle,99,Blue Ice Crystal
skill_tree,Skill Tree,Skill Tree,Shield Hero Quests,99,Skill Tree
magic_dragon_spirit_core,Magic Dragon Spirit Core,Magic Dragon Spirit Core,Jiaolong Invades!,99,Magic Dragon Spirit Core
sarira,Sarira,Sarira,Fahai Invades!,99,Sarira
kojiro_sasaki,Kojiro Sasaki,Beautiful Stream Kojiro Sasaki,Kojiro Sasaki Invades!,58,Kojiro Sasaki
jp_azathoth-5,JP Azathoth 5★,アザトース,Ruler of All,58,JP Azathoth 5
serket-4,Serket 4★,Serket,Poison God's Plea,38,Serket 4
ashley-3,Ashley 3★,Ashley,Scarlet Enforcer,33,Ashley 3
woolfe-4,Woolfe 4★,Lupine Guzzler Woolfe,All the Better to Eat You With,38,Woolfe 4
phoenix-4,Phoenix 4★,Phoenix,Wings Ablaze,38,Phoenix 4
archelon-4,Archelon 4★,Archelon,The Listless Bookworm,38,Archelon 4
unicorn-3,Unicorn 3★,Unicorn,Solitary Unicorn,33,Unicorn 3
land_dragon-4,Land Dragon 4★,Land Dragon,Red Dragon Sanctions,38,Land Dragon 4
hydra-3,Hydra 3★,Hydra,Cannonball Capers,33,Hydra 3
chiemi-3,Chiemi 3★,Fateful Fryer Chiemi,Love at First Fright,33,Chiemi 3
byggvir_beyla-4,Byggvir & Beyla 4★,Byggvir & Beyla,Fairy Blockade,38,Byggvir & Beyla 4
hook-4,Hook 4★,Hook,Croc Hunter on a Warpath,38,Hook 4
lilian_blue-3,Lilian Blue 3★,Lilian Blue,Creeping Dagger,33,Lilian Blue 3
parvati-4,Parvati 4★,Parvati,It's all for the Master,38,Parvati 4
ananta-4,Ananta 4★,Ananta,Whose Miniature Garden Is This?,38,Ananta 4
lionel-4,Lionel 4★,Lionel,Strength Envy,38,Lionel 4
mr_whale-4,Mr. Whale 4★,Mr. Whale,Call of the Great Whale,38,Mr. Whale 4
orthrus-4,Orthrus 4★,Orthrus,Savage Canine Tamer,38,Orthrus 4
rodan-4,Rodan 4★,Rodan,Silent Pteranodon Attack,38,Rodan 4
versailles-4,Versailles 4★,Versailles,Firelight Beauty,38,Versailles 4
ahemait-4,Ahemait 4★,Ahemait,Soul-Slaying Black Shadow,38,Ahemait 4
humbaba-4,Humbaba 4★,Humbaba,Beasts of the Dark,38,Humbaba 4
merksha-4,Merksha 4★,Merksha,Painter of Love,38,Merksha 4
red_hare-4,Red Hare 4★,Red Hare,Red Hares on horseback!,38,Red Hare 4
vritra-4,Vritra 4★,Vritra,The Little Dragon,38,Vritra 4
motojiro_kajii-4,Motojiro Kajii 4★,Motojiro Kajii,Lemon-Colored Shock,38,Motojiro Kajii 4
lindworm-4,Lindworm 3★,Lindworm,Steel Predator,33,Lindworm 3
auri-4,Auri 4★,Auri,Bewildered Messengers?!,38,Auri 4
three_piggies-4,Three Piggies 4★,Three Piggies,Ironclad Piggy Fort,38,Three Piggies 4
sparta-4,Sparta 4★,Sparta,Endurance and Obedience,38,Sparta 4
mikado-4,Mikado 4★,Mikado,Unhand My Bride,38,Mikado 4
fernyiges-3,Fernyiges 3★,Fernyiges,The Radiant Dragon on High,33,Fernyiges 3
true_wedding_ring,True Wedding Ring,True Wedding Ring,June Bride Login,99,True Wedding Ring
s_f_yukimura_sanada,School Festival Yukimura Sanada,Dazzling Hero Yukimura Sanada,Spontaneous Rock Out!,48,School Festival Yukimura Sanada
s_f_shoki,School Festival Shoki,Mansion Attendant Shoki,Monster Madness,48,School Festival Shoki
s_f_tink,School Festival Tink,Bassist Tink,School Festival Ticket Hatcher,99,School Festival Tink
s_f_happy,School Festival Happy,Cheerleader Happy,School Festival Ticket Hatcher,99,School Festival Happy
kevin_pulse_gun,Kevin's Pulse Gun,Kevin's Pulse Gun,ALICE Panic Ticket Hatcher,99,Kevin's Pulse Gun
the_orient,The Orient,The Orient,Secrets of Kiddy Land,99,The Orient
awesome_arm_part,Awesome Arm Part,ぱーつ : ごうわん,Awesome! Jerry Robot,99,Awesome Arm Part
drill_part,Drill Part,ぱーつ : どりる,Awesome! Jerry Robot,99,Drill Part
joe_buster_part,Joe Buster Part,ぱーつ : じょーばすたー,Awesome! Jerry Robot,99,Joe Buster Part
winter_sports_miku-3,Winter Sports Miku,Winter Sports Miku,Frosty Diva,33,Winter Sports Miku
winter_sports_miku-4,Snow Miku & Yukine,Snow Miku & Rabbit Yukine,Frosty Diva,38,Snow Miku & Yukine
aoba_kuronoma-4,Aoba Kuronoma 4★,黒沼青葉,Stop the Yellow Bandits!,38,Aoba Kuronoma 4
masaomi_kida-4,Masaomi Kida 4★,紀田正臣,Follow Blue Square!,38,Masaomi Kida 4
hello_kitty_ribbon,Hello Kitty's Ribbon,???,Sanrio Quests(?),99,Hello Kitty's Ribbon
mommy_apple_pie,Mommy's Apple Pie,???,Sanrio Quests(?),99,Mommy's Apple Pie
female_titan-4,Female Titan 4★,女型の巨人,Shiganshina War Battle,38,Female Titan 4
armored_titan-4,Armored Titan 4★,鎧の巨人,Shiganshina War Battle,38,Armored Titan 4
cat,Cat,Cat,Cat Army Invasion!,10,Cat
tank_cat,Tank Cat,Tank Cat,Cat Army Invasion!,10,Tank Cat
axe_cat,Axe Cat,Axe Cat,Cat Army Invasion!,20,Axe Cat
gross_cat,Gross Cat,Gross Cat,Cat Army Invasion!,28,Gross Cat
envy-5,Envy 5★,Envy the Jealous,Scar Invades!,38,Envy 5
pride-5,Pride 5★,Pride the Arrogant,Scar Invades!,38,Pride 5
milly-4,Milly 4★,Wind Talons Milly,The Hunter is Hunted,38,Milly 4
farnese_core,Farnese Core,Farnese Core,Hellraiser Invades!,99,Farnese Core
heart-red,Heart Rosso,Heart Rosso,8 Million Downloads Login,99,Heart Rosso
heart-green,Heart Verde,Heart Verde,8 Million Downloads Login,99,Heart Verde
heart-blue,Heart Azzurro,Heart Azzurro,8 Million Downloads Login,99,Heart Azzurro
heart-yellow,Heart Giallo,Heart Giallo,8 Million Downloads Login,99,Heart Giallo
yellow_ducksworth,Yellow Ducksworth,Yellow Ducksworth,Various,99,Yellow Ducksworth
thief_treasure_chest,Thief's Treasure Chest,盗賊の財宝箱,KonoSuba 2018 Login,99,Thief's Treasure Chest
cat_food,Cat Food,Cat Food,Battle Cats 2018 Quests,99,Cat Food
manager_sweet_box,Young Manager's Sweets Box,ひよっこ担当のスイーツBOX,Idol Pati & Praline Locked Quest,99,Young Manager's Sweets Box
manager_handmade_cake,Smiling Manager's Handmade Cake,ニコニコ担当の手作りケーキ,Valentines Sphinx Locked Quest,99,Smiling Manager's Handmade Cake
mgr_mint_choco_mush,Moist Manager's Mint Choco Mushroom,しっとり担当のきのこミントチョコ,Valentines Amontons Locked Quest,99,Moist Manager's Mint Choco Mushroom
manager_macaron,Dark Manager's Japanese Macaron,闇担当の和デコレーションマカロン,Valentines Tsukuyomi Locked Quest,99,Dark Manager's Japanese Macaron
xing_tian_warrior_spirit,Xing Tian's Warrior Spirit,刑天的武魂,Escape the Banquan Palace,99,Xing Tian's Warrior Spirit
tsukuyomi,Tsukuyomi,Moon Goddess Tsukuyomi,Tsukuyomi Invades!,58,Tsukuyomi
evidence_a,Evidence A,証拠A,JP Onsen 2020 Quests,99,Evidence A
evidence_b,Evidence B,証拠B,JP Onsen 2020 Quests,99,Evidence B
evidence_c,Evidence C,証拠C,JP Onsen 2020 Quests,99,Evidence C
jp_cthugha-5,JP Cthugha 5★,クトゥグア,Dark Supernova (Japan),48,JP Cthugha 5
mysterious_merchant_mask,Mysterious Merchant Plague Mask,Mysterious Merchant Plague Mask,"Buongiorno, Signore Maschere!",99,Mysterious Merchant Plague Mask
plague_doctor_mask,Plague Doctor Mask,Plague Doctor Mask,"Buongiorno, Signore Maschere!",99,Plague Doctor Mask
artiglio_scheggatio,Artiglio Scheggatio,Artiglio Scheggatio,"Buongiorno, Signore Maschere!",99,Artiglio Scheggatio
yuzuru-4,Yuzuru 4★,Fearless Sniper Yuzuru,Run the Sniper's Gauntlet,38,Yuzuru 4
gjallarhorn-4,Gjallarhorn 4★,Gjallarhorn,Melody of the Weekend,38,Gjallarhorn 4
sen_no_rikyu-4,Sen no Rikyu 4★,Sen no Rikyu,The Journey Begins!,38,Sen no Rikyu 4
gael-4,Gael 4★,Great Club Gael,The Hammer That Falls,38,Gael 4
misako-3,Misako 3★,Flame Assassin Misako,Ashes to Ashes,33,Misako 3
chika-3,Chika 3★,Poison Assassin Chika,Crimes and Concoctions,33,Chika 3
lisa-3,Lisa 3★,Soul Strangler Lisa,Suffocation Cometh,33,Lisa 3
iria-4,Iria 4★,Fists of Steel Iria,Mediator Among Friends,38,Iria 4
gothel-4,Gothel 4★,Gothel,Quarantine Escape,38,Gothel 4
